TreeID,date,spp,id,brown_perc,diam_mm,temp,water,weight,day,week
PIEN60,2025-08-14T07:00:00Z,PIEN,60,10,3.8,heatwave,drought,292.5,24,4
PIEN1,2025-08-19T07:00:00Z,PIEN,1,10,4.5,ambient,water,562.2,29,5
PIEN2,2025-08-19T07:00:00Z,PIEN,2,10,4.5,ambient,drought,274.5,29,5
PIEN3,2025-08-19T07:00:00Z,PIEN,3,10,5.1,ambient,drought,354.8,29,5
PIEN4,2025-08-19T07:00:00Z,PIEN,4,10,4.5,ambient,drought,367.3,29,5
PIEN5,2025-08-19T07:00:00Z,PIEN,5,10,5,ambient,drought,298.6,29,5
PIEN6,2025-08-19T07:00:00Z,PIEN,6,10,4.1,ambient,drought,419.2,29,5
PIEN7,2025-08-19T07:00:00Z,PIEN,7,10,5.3,ambient,drought,330.5,29,5
PIEN8,2025-08-19T07:00:00Z,PIEN,8,10,5.1,ambient,drought,431.8,29,5
PIEN9,2025-08-19T07:00:00Z,PIEN,9,10,3.4,ambient,water,575.1,29,5
PIEN10,2025-08-19T07:00:00Z,PIEN,10,10,5.1,ambient,drought,285.9,29,5
PIEN11,2025-08-19T07:00:00Z,PIEN,11,10,5.2,ambient,drought,276.5,29,5
PIEN12,2025-08-19T07:00:00Z,PIEN,12,10,6,ambient,drought,413.5,29,5
PIEN13,2025-08-19T07:00:00Z,PIEN,13,10,5.7,ambient,drought,291.3,29,5
PIEN14,2025-08-19T07:00:00Z,PIEN,14,10,4.7,ambient,drought,372.6,29,5
PIEN15,2025-08-19T07:00:00Z,PIEN,15,10,5.4,ambient,drought,375.6,29,5
PIEN16,2025-08-19T07:00:00Z,PIEN,16,10,4.3,ambient,drought,404.1,29,5
PIEN17,2025-08-19T07:00:00Z,PIEN,17,10,5.9,ambient,drought,402.4,29,5
PIEN18,2025-08-19T07:00:00Z,PIEN,18,10,5.5,ambient,water,571,29,5
PIEN19,2025-08-19T07:00:00Z,PIEN,19,10,4,ambient,drought,474.6,29,5
PIEN20,2025-08-19T07:00:00Z,PIEN,20,10,4.6,ambient,drought,326.1,29,5
PIEN21,2025-08-19T07:00:00Z,PIEN,21,10,5.3,ambient,drought,369.2,29,5
PIEN22,2025-08-19T07:00:00Z,PIEN,22,10,5.4,ambient,drought,281.3,29,5
PIEN23,2025-08-19T07:00:00Z,PIEN,23,10,4.3,ambient,drought,392,29,5
PIEN24,2025-08-19T07:00:00Z,PIEN,24,10,4.5,ambient,water,571.2,29,5
PIEN25,2025-08-19T07:00:00Z,PIEN,25,10,4.6,ambient,drought,315.6,29,5
PIEN26,2025-08-19T07:00:00Z,PIEN,26,10,5.8,ambient,drought,364.5,29,5
PIEN27,2025-08-19T07:00:00Z,PIEN,27,10,4.9,ambient,water,543.7,29,5
PIEN28,2025-08-19T07:00:00Z,PIEN,28,10,4.2,ambient,drought,241.3,29,5
PIEN29,2025-08-19T07:00:00Z,PIEN,29,10,2.8,ambient,drought,485.7,29,5
PIEN30,2025-08-19T07:00:00Z,PIEN,30,10,5,ambient,drought,303.2,29,5
PIEN31,2025-08-19T07:00:00Z,PIEN,31,10,5.4,heatwave,water,516.6,29,5
PIEN32,2025-08-19T07:00:00Z,PIEN,32,10,3.2,heatwave,drought,359.9,29,5
PIEN33,2025-08-19T07:00:00Z,PIEN,33,10,4,heatwave,drought,294,29,5
PIEN34,2025-08-19T07:00:00Z,PIEN,34,10,5.9,heatwave,water,444.2,29,5
PIEN35,2025-08-19T07:00:00Z,PIEN,35,10,4.6,heatwave,drought,274.8,29,5
PIEN36,2025-08-19T07:00:00Z,PIEN,36,10,4.8,heatwave,drought,239.9,29,5
PIEN37,2025-08-19T07:00:00Z,PIEN,37,10,5.5,heatwave,drought,324.2,29,5
PIEN38,2025-08-19T07:00:00Z,PIEN,38,10,5.2,heatwave,water,395,29,5
PIEN39,2025-08-19T07:00:00Z,PIEN,39,10,4.7,heatwave,drought,334.8,29,5
PIEN40,2025-08-19T07:00:00Z,PIEN,40,10,6.2,heatwave,drought,240.6,29,5
PIEN41,2025-08-19T07:00:00Z,PIEN,41,10,5,heatwave,drought,238.4,29,5
PIEN42,2025-08-19T07:00:00Z,PIEN,42,10,4.7,heatwave,water,407.2,29,5
